url,filename,title,artist,original_title,original_artist,format
https://www.tiktok.com/@dzdiablo25/video/7484062889456831786,viva_la_lebron,Viva La Lebron,dzdiablo25,Viva La Vida,Coldplay,mp3
https://www.tiktok.com/@.ilyaugust/video/7482431302185094442,thinking_bout_lebron,Thinking Bout Lebron,ilyaugust,Talking to the Moon,Bruno Mars,mp3
https://www.tiktok.com/@heyitskrypt/video/7484941303713860910,lebrons_room,Lebron's Room,heyitskrypt,Marvin's Room,Drake,mp3
https://www.tiktok.com/@.ilyaugust/video/7481686376535035182,the_lebron_that_i_used_to_know,The Lebron That I Used To Know,ilyaugust,Somebody That I Used to Know,Gotye,mp3
https://www.tiktok.com/@quasarsfr/video/7482421677423398190,the_man_on_the_lakers,The Man on the Lakers,imakeparodyzz,,,mp3
https://www.tiktok.com/@.ilyaugust/video/7483317184979045678,thats_bron,That's Bron,ilyaugust,Thank You,CeeLo Green,mp3
https://www.tiktok.com/@itsokayspade/video/7478087272454360366,lebron_lebron_lebron,Lebron Lebron Lebron,itsokayspade,,,mp3
https://www.tiktok.com/@.ilyaugust/video/7484838433664339242,bring_me_back_to_bron,Bring me Back to Bron,ilyaugust,Bring Me to Life,Evanescence,mp3
https://www.tiktok.com/@.ilyaugust/video/7488146647776660782,bron_royalty,Bron Royalty,ilyaugust,Trap Royalty,Fetty Wap,mp3
https://www.tiktok.com/@zagaraaaa/video/7486248421989305642,the_way_lebron_goes,The Way Lebron Goes,zagaraaaa,the way things go,beabadoobee,mp3
https://www.tiktok.com/@musicbykidb/video/7488398502997806382,all_of_bron,All of Bron,musicbykidb,All of Me,John Legend,mp3
https://www.tiktok.com/@mgscorin/video/7487295855016381738,the_color_lebron,The Color Lebron,mgscorin,The Color Violet,Tory Lanez,mp3
https://www.tiktok.com/@.ilyaugust/video/7488526774872182059,what_makes_bron_beautiful,What Makes Bron Beautiful,ilyaugust,What Makes You Beautiful,One Direction,mp3
https://www.tiktok.com/@.ilyaugust/video/7486662524021099818,brontastic,Brontastic,ilyaugust,Classic,MKTO,mp3
https://www.tiktok.com/@omgitsnotjane/video/7488148222439951646,bron_to_his_city,Bron to His City,omgitsnotjane,Belong to the City,PARTYNEXTDOOR,mp3
https://www.tiktok.com/@.ilyaugust/video/7483677948290092331,i_write_brons_not_brongies,I Wite Brons Not Brongies,ilyaugust,I Write Sins Not Tragedies,Panic! At The Disco,mp3
https://www.tiktok.com/@.ilyaugust/video/7487409910079049006,shut_up_and_dance_with_bron,Shut Up and Dance with Bron,ilyaugust,Shut Up and Dance,WALK THE MOON,mp3
https://www.tiktok.com/@.ilyaugust/video/7485927780912221483,the_sweet_lescape,The Sweet LeScape,ilyaugust,The Sweet Escape,Gwen Stefani,mp3
https://www.tiktok.com/@.ilyaugust/video/7485547513366203690,romantic_bronicide,Romantic Bronicide,ilyaugust,Romantic Homicide,d4vd,mp3
https://www.tiktok.com/@.ilyaugust/video/7482051874749697323,lebron_hour,Lebron Hour,ilyaugust,Golden Hour,JVKE,mp3
https://www.tiktok.com/@.ilyaugust/video/7481815443594890538,let_lebron_know,Let Lebron Know,ilyaugust,Let Me Know,Tamar Braxton,mp3
https://www.tiktok.com/@.ilyaugust/video/7482798802194173230,towards_the_bron,Towards The Bron,ilyaugust,Towards The Sun,Rihanna,mp3
https://www.tiktok.com/@.ilyaugust/video/7482978840495607086,lenade,LeNade,ilyaugust,Grenade,Bruno Mars,mp3
https://www.tiktok.com/@.ilyaugust/video/7484094359181315374,this_bron,This Bron,ilyaugust,This Love,Maroon 5,mp3
https://www.tiktok.com/@.ilyaugust/video/7484420194878819630,marry_bron,Marry Bron,ilyaugust,Marry You,Bruno Mars,mp3
https://www.tiktok.com/@.ilyaugust/video/7485186650050448682,in_the_bron,In the Bron,ilyaugust,In The End,Linkin Park,mp3
https://www.tiktok.com/@.ilyaugust/video/7486306690858519854,no_bron,No Bron,ilyaugust,,,mp3
https://www.tiktok.com/@.ilyaugust/video/7487057636488269102,brons,Brons,ilyaugust,Stitches,Shawn Mendes,mp3
https://www.tiktok.com/@kidkronke/video/7484448912712027434,lebrons_idea,Lebron's Idea,kidkronke,No Idea,Don Toliver,mp3
https://www.tiktok.com/@ay3demiv2/video/7487360484505668910,wait_for_bron,Wait for Bron,ay3demiv2,WAIT FOR U,Future,mp3
https://www.tiktok.com/@omgitsnotjane/video/7484255472413887774,bronny,Bronny,omgitsnotjane,Happy,Pharrell Williams,mp3
https://www.tiktok.com/@omgitsnotjane/video/7484664557353422110,50000_points,50000 Points,omgitsnotjane,Infrunami,Steve Lacy,mp3
https://www.tiktok.com/@omgitsnotjane/video/7484674065492397343,goat,G.O.A.T,omgitsnotjane,P.I.M.P,50 Cent,mp3
https://www.tiktok.com/@omgitsnotjane/video/7484708009541651742,brons_plan,Bron's Plan,omgitsnotjane,God's Plan,Drake,mp3
https://www.tiktok.com/@omgitsnotjane/video/7485098779469679902,leouis,Le-ouis,omgitsnotjane,Oui,Jeremih Leremix,mp3
https://www.tiktok.com/@omgitsnotjane/video/7485334373227564318,ledemption,LeDemption,omgitsnotjane,Redemption,Drake,mp3
https://www.tiktok.com/@omgitsnotjane/video/7485861277680536862,lemember,LeMember,omgitsnotjane,Remember,Michael Jackson,mp3
https://www.tiktok.com/@omgitsnotjane/video/7485882918750014751,23_mins,23 Mins,omgitsnotjane,20 Mins,Lil Uzi Vert,mp3
https://www.tiktok.com/@omgitsnotjane/video/7485906986765159710,lose_my_bron,Lose My Bron,omgitsnotjane,Lose My Mind,PARTYNEXTDOOR,mp3
https://www.tiktok.com/@omgitsnotjane/video/7486028236300815646,bronned_it,Bronned It,omgitsnotjane,Earned It,The Weeknd,mp3
https://www.tiktok.com/@omgitsnotjane/video/7486144323088583966,broison,Broison,omgitsnotjane,Poison,Jaydes,mp3
https://www.tiktok.com/@omgitsnotjane/video/7486330939807714590,one_bron,One Bron,omgitsnotjane,One Dance,Drake,mp3
https://www.tiktok.com/@omgitsnotjane/video/7486690304263785759,bronkia,Bron-kia,omgitsnotjane,Nokia,Drake,mp3
https://www.tiktok.com/@omgitsnotjane/video/7486860843947281695,find_brons_lovin,Find Bron's Lovin,omgitsnotjane,Find Your Lovin,Drake,mp3
https://www.tiktok.com/@omgitsnotjane/video/7486867474953080095,under_the_bronfluence,Under the Bronfluence,omgitsnotjane,Under the Influence,Chris Brown,mp3
https://www.tiktok.com/@omgitsnotjane/video/7486879877405232415,bronzed,Bronzed,omgitsnotjane,Jaded,Drake,mp3
https://www.tiktok.com/@omgitsnotjane/video/7486905918261693726,not_you_bron,Not You Bron,omgitsnotjane,Not You Too,Drake,mp3
https://www.tiktok.com/@omgitsnotjane/video/7487212415822597406,brons_peaches,Bron's Peaches,omgitsnotjane,Peaches,Justin Bieber,mp3
https://www.tiktok.com/@omgitsnotjane/video/7487444384049384734,lechosen_one,LeChosen One,omgitsnotjane,I'm the One,Justin Bieber,mp3
https://www.tiktok.com/@omgitsnotjane/video/7488387339530685727,come_and_see_bron,Come and See Bron,omgitsnotjane,Came and See Me,PARTYNEXTDOOR,mp3
https://www.tiktok.com/@omgitsnotjane/video/7488429387759602975,thinking_bout_bron,Thinkin Bout Bron,omgitsnotjane,Thinkin Bout You,Frank Ocean,mp3
https://www.tiktok.com/@musicbykidb/video/7487277159380159790,leboyfriend,LeBoyfriend,musicbykidb,Boyfriend,Justin Bieber,mp3
https://www.tiktok.com/@musicbykidb/video/7488768479751834923,lesorry,LeSorry,musicbykidb,Sorry,Justin Bieber,mp3
https://www.tiktok.com/@musicbykidb/video/7486542433677774123,lelove_yourself,LeLove Yourself,musicbykidb,Love Yourself,Justin Bieber,mp3
https://www.tiktok.com/@imakeparodyzz/video/7482891755604593966,i_believe_in_lebron,I Believe in Lebron,imakeparodyzz,I Believe I Can Fly,I Believe I Can Fly,mp3
https://www.tiktok.com/@imakeparodyzz/video/7488882324403260718,all_my_lebron,All My Lebron,imakeparodyzz,All My Life,K-Ci,mp3
https://www.tiktok.com/@.ilyaugust/video/7488913594772376875,bronpeii,Bronpeii,ilyaugust,Pompeii,Bastille,mp3
https://www.tiktok.com/@.ilyaugust/video/7489656430543342890,always_glaze_lebron,Always Glaze Lebron,ilyaugust,Never Say Never,Justin Bieber,mp3
https://www.tiktok.com/@omgitsnotjane/video/7489292263177063711,ledie_trying,LeDie Trying,omgitsnotjane,Die Trying,Drake,mp3
https://www.tiktok.com/@omgitsnotjane/video/7488867379309497630,feel_leway,Feel LeWay,omgitsnotjane,Feel No Ways,Drake,mp3
https://www.tiktok.com/@omgitsnotjane/video/7489706638257966366,from_lestart,From LeStart,omgitsnotjane,From the Start,Laufey,mp3
https://www.tiktok.com/@musicbykidb/video/7489512148645858603,its_leyou,It's LeYou,musicbykidb,It's You,Ali Gatie,mp3
https://www.tiktok.com/@nacuri/video/7484082177915899178,when_i_see_brons_face,When I See Bron's Face,nacuri,Just the Way You Are,Bruno Mars,mp3
https://www.tiktok.com/@mgscorin/video/7488508999000673582,when_i_was_your_bron,When I was Your Bron,mgscorin,When I was Your Man,Bruno Mars,mp3
https://www.tiktok.com/@mgscorin/video/7487023092636650795,hurts_bron,Hurts Bron,mgscorin,Hurts You,Tory Lanez,mp3
https://www.tiktok.com/@mgscorin/video/7485830115524414762,bronken_clocks,Bronken Clocks,mgscorin,Broken Clocks,SZA,mp3
https://www.tiktok.com/@mgscorin/video/7485930225595927839,get_abron_better,Get ABron Better,mgscorin,Get Along Better,Drake,mp3
https://www.tiktok.com/@mgscorin/video/7486618853561109803,pretty_bron_rock,Pretty Bron Rock,mgscorin,Pretty Girl Rock,Keri Hilson,mp3
https://www.tiktok.com/@tyfrom662/video/7489182447385562398,akron_child,Akron Child,tyfrom662,Lonely Child,NBA Youngboy,mp3
https://www.tiktok.com/@tyfrom662/video/7488441000101301535,leheart_and_soul,LeHeart and Soul,tyfrom662,Heart and Soul,NBA Youngboy,mp3
https://www.tiktok.com/@tyfrom662/video/7487643168435948830,bron_addiction,Bron Addiction,tyfrom662,Drug Addiction,NBA Youngboy,mp3
https://www.tiktok.com/@tyfrom662/video/7487261490458742047,lesiduals,Lesiduals,tyfrom662,Residuals,Chris Brown,mp3
https://www.tiktok.com/@tyfrom662/video/7486946857923415326,lebron_tingz,Lebron Tingz,tyfrom662,House Arrest Tingz,NBA Youngboy,mp3
https://www.tiktok.com/@tyfrom662/video/7486576115914411294,levada,LeVada,tyfrom662,Nevada,NBA Youngboy,mp3
tiktok.com/@1scxba/video/7488881482090499374,lefeel_it,LeFeel It,1scxba,Feel it,d4vd,mp3